Date,BTC,LTC,XRP,DASH,RF
2014/2/21,574.1599731,13.89089966,0.0150702,1.128620029,0.001
2014/2/28,549.2600098,13.22850037,0.0136665,0.550661027,0.001
2014/3/7,629.1500244,15.85140038,0.015009,0.877911985,0.001
2014/3/14,628.7999878,16.58690071,0.0141981,0.811340988,0.001
2014/3/21,571.4899902,15.69839954,0.01325,0.704648018,0.001
2014/3/28,495.6659851,13.74409962,0.0105513,0.697426021,0.001
2014/4/4,447.526001,11.02439976,0.00809374,0.648936987,0
2014/4/11,420.946991,10.94680023,0.00658183,0.548906982,0
2014/4/18,479.644989,12.05749989,0.00620982,0.789776981,0
2014/4/25,461.4490051,10.79129982,0.00549087,1.686290026,0
2014/5/2,449.3770142,10.50199986,0.00531498,1.348119974,0
2014/5/9,449.4609985,10.7493,0.00606292,2.225719929,0
2014/5/16,448.0580139,10.41310024,0.00690989,5.924019814,0
2014/5/23,520.2219849,11.22830009,0.00331529,13.49110031,0
2014/5/30,615.3250122,11.25020027,0.00423165,11.05049992,0
2014/6/6,653.7020264,11.2031002,0.00391599,11.77070045,0.001
2014/6/13,600.1630249,10.2475996,0.00416136,10.64190006,0.001
2014/6/20,594.1459961,9.830209732,0.00418815,10.33619976,0.001
2014/6/27,597.2609863,9.247520447,0.00399343,10.08829975,0.001
2014/7/4,630.6920166,7.343379974,0.00324555,7.564970017,0
2014/7/11,632.0029907,7.853970051,0.00429775,6.517720223,0
2014/7/18,628.7789917,8.724849701,0.00636416,7.206419945,0
2014/7/25,601.0889893,7.554800034,0.00604314,6.074890137,0
2014/8/1,594.9160156,7.701849937,0.00536894,5.642069817,0
2014/8/8,592.5770264,7.062280178,0.00546157,5.987209797,0
2014/8/15,497.0100098,5.048590183,0.00540966,3.637079954,0
2014/8/22,514.0430298,5.247330189,0.00509505,3.168879986,0
2014/8/29,508.5169983,5.360030174,0.00501697,2.549580097,0
2014/9/5,483.3420105,4.96420002,0.00487432,2.835449934,0
2014/9/12,477.7529907,5.382480145,0.0047126,2.848200083,0
2014/9/19,394.79599,4.327770233,0.00494225,3.432100058,0
2014/9/26,404.4249878,4.433589935,0.00461558,2.890439987,0
2014/10/3,359.5119934,4.175119877,0.00502282,2.401809931,0
2014/10/10,361.5620117,3.807389975,0.00487145,2.237900019,0
2014/10/17,383.7579956,3.99326992,0.00490406,2.274270058,0
2014/10/24,358.3450012,3.747529984,0.00508175,2.036459923,0
2014/10/31,338.3210144,3.753999949,0.00486669,1.789919972,0
2014/11/7,342.4150085,3.557369947,0.00487711,2.131510019,0
2014/11/14,397.8179932,3.989370108,0.00519666,2.412519932,0
2014/11/21,350.8479919,3.496929884,0.00658929,2.217760086,0
2014/11/28,376.446991,3.603859901,0.0151648,2.376539946,0
2014/12/5,376.8540039,3.618230104,0.0137849,2.37312007,0
2014/12/12,352.5419922,3.486710072,0.0163741,2.27470994,0
2014/12/19,317.8429871,2.869110107,0.0233381,1.894909978,0
2014/12/26,327.9240112,2.781689882,0.025308,2.028470039,0
2015/1/2,315.0320129,2.667360067,0.0243185,1.940670013,0
2015/1/9,290.4079895,1.983360052,0.020576,1.708019972,0
2015/1/16,208.0970001,1.402269959,0.016403001,1.275599957,0
2015/1/23,232.8789978,1.42595005,0.0167337,1.59157002,0
2015/1/30,226.4250031,1.897629976,0.014443,1.640169978,0
2015/2/6,222.2660065,1.759410024,0.0151853,1.794899941,0
2015/2/13,235.427002,1.82167995,0.0145655,2.918659926,0
2015/2/20,243.779007,1.847949982,0.0134808,2.737289906,0
2015/2/27,253.8280029,1.851420045,0.0133598,3.036439896,0
2015/3/6,272.7229919,1.897819996,0.0108557,3.334990025,0
2015/3/13,285.3370056,2.007960081,0.0105112,2.910020113,0
2015/3/20,261.7489929,1.767210007,0.0104461,3.704780102,0
2015/3/27,247.029007,1.686740041,0.00889473,4.764579773,0
2015/4/3,254.3220062,1.698510051,0.00872025,4.35627985,0.001
2015/4/10,236.0720062,1.527040005,0.00851215,3.233789921,0.001
2015/4/17,222.8820038,1.409129977,0.00802544,2.832700014,0.001
2015/4/24,231.2680054,1.419280052,0.00807693,3.181770086,0.001
2015/5/1,232.0789948,1.406589985,0.00801848,2.742449999,0
2015/5/8,243.8630066,1.481080055,0.00749133,2.762439966,0
2015/5/15,237.6049957,1.454290032,0.00665521,2.871510029,0
2015/5/22,240.3480072,1.832299948,0.00664944,2.906689882,0
2015/5/29,237.095993,1.831349969,0.00905644,2.822000027,0
2015/6/5,224.9519958,1.760570049,0.00795649,2.820149899,0
2015/6/12,229.9819946,1.802189946,0.00805721,2.796360016,0
2015/6/19,244.6060028,2.807300091,0.0112069,2.89628005,0
2015/6/26,243.5939941,2.860239983,0.0112876,2.819210053,0
2015/7/3,256.3359985,4.115310192,0.0110992,2.956919909,0
2015/7/10,284.8940125,4.505219936,0.00884711,4.053730011,0
2015/7/17,279.4719849,3.786809921,0.00802556,3.760979891,0
2015/7/24,288.2780151,4.601830006,0.00765631,3.689320087,0
